name,id,portal_name,street,street2,zipcode,city,state,county,country,lat,lon,type,description,url,phone,email,archived,status,activityName,activityCnt,role,contactNames,contactEmails,courses,sectionCnt,unitNames,unitCnt,externalId,programs
Franciscan Alliance St. Francis,6df14ae8-8687-4826-6e96-8fc3e3af8acc,Indianapolis,8111 S. Emerson Ave.,,46237.0,Indianapolis,IN,,US,39.648632,-86.079823,nonprofit,Franciscan Health Indianapolis features the only full-service heart and vascular care program on the city's south side. We are accredited through the Healthcare Facilities Accreditation Program and our top national rankings and an ever-growing list of honors reaffirms our commitment to our patients.,https://www.franciscanhealth.org/healthcare-facilities/franciscan-health-indianapolis-9,,,False,approved,['Health Sciences Internships'],1,"{""Identify areas of need"",""Set goals"",""Provide access to data"",""Provide access to target populations"",""Supervise students""}",[' '],[''],['HLSC-H495-Fall 2024-Spring 2025'],1,['School of Health and Human Sciences'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 1: Workforce Development']"
Franklin Community School Corp: Creekside Elementary School,0c2731cb-f1f1-4bec-5ba2-4df29c7b13fc,Indianapolis,700 E SR 44,,46131,Franklin,IN,Johnson,US,39.39869,-85.97803,education: k-12,,https://www.franklinschools.org/creekside,(317) 346-8800,,False,approved,['Education Counseling Internship: Creekside Elementary School/Columbus North High School'],1,"{""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Supervise students""}",[' '],[''],['EDUC-G550-20875'],1,['School of Education'],1,4225-3467,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Franklin Community School Corp: Franklin Community High School,00a955bd-f5cf-4547-71e5-3ff34e92a244,Indianapolis,2600 Cumberland Dr,,46131,Franklin,IN,Johnson,US,39.511839,-86.086625,education: k-12,,http://franklinschools.org/Domain/8,(317) 738-5700,,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'iDEW: Computing by Design Summer Workshop']",1,"{""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ']","['', '']",,1,"['Luddy School of Informatics, Computing, and Engineering', 'University College', 'Special Programs for Academic Nurturing']",1,4225-3445,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Franklin Township Community School Corporation: Franklin Central High School,8a891478-680b-4e24-5e92-8a6f238e1836,Indianapolis,6215 S. Franklin Rd.,,46259,Indianapolis,IN,Marion,US,39.67718,-86.015395,education: k-12,,https://ftcsc.org/fchs/,(317) 862-6646,,False,approved,"['We the People: The Citizen and the Constitution', 'iDEW: Computing by Design Summer Workshop']",1,"{""Promote event to target populations"",""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ']","['', '']",,1,"['Luddy School of Informatics, Computing, and Engineering', ""Paul O'Neill School of Public and Environmental Affairs""]",1,5310-5310-5193,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
GEO Next Generation Academy,32154b46-692b-426b-53dd-23d23fb2437d,Indianapolis,4002 N Franklin Rd,,46226,Indianapolis,IN,Marion,US,39.830275,-86.02852,education: k-12,,,,,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'iDEW: Computing by Design Summer Workshop']",1,"{""Promote event to target populations"",""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ']","['', '']",,1,"['University College', 'Special Programs for Academic Nurturing', 'Luddy School of Informatics, Computing, and Engineering']",1,9966,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
GOAL University,55601669-1b21-47ab-746b-d4717f13193e,Indianapolis,2 N Meridian St,,46204,Indianapolis,18,Marion County,US,39.767374,-86.158315,government,GOAL University was created to address the epidemic of childhood obesity in the US and the state of Indiana.,,,,False,approved,['B235 Community Clinicals'],1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Measure the impact of the activity on the community""}",[' '],[''],['NURS-B235-All Spring Sections'],1,['NURS: Science of Nursing Care'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Girl Scouts of Central Indiana,97218c05-0e1f-4490-5cdc-c8ad801797c7,Indianapolis,2611 Waterfront Parkways E. Dr.,,46214,Indianapolis,IN,,US,39.802841,-86.277613,nonprofit,"Girl Scouting builds girls of courage, confidence, and character, who make the world a better place. Girl Scouts of Central Indiana makes it easy, meaningful, and fun for girls and volunteers to grow as leaders. This mission, along with the Girl Scout Promise and Law, is the foundation of all we do.",https://www.girlscoutsindiana.org/,,,False,approved,"['Forensic and Investigative Sciences Outreach', 'Slumber at the Speedway']",1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Discuss how to work together"",""Provide access to target populations""}","[' ', ' ']","['', '']",,1,"['SCI: Forensic & Investigative Sciences Program', ""Women's Engineering Network"", 'ENGT: Engineering Technology']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Girl Scouts of the USA,1fdb236d-7073-466d-44a5-701fa4f3f9ea,Indianapolis,420 Fifth Avenue,,10018,Manhattan,NY,New York County,US,40.750872,-73.983263,nonprofit,,,,,False,approved,['The Fundraising School Courses and Seminars'],1,"{""Identify areas of need""}",[' '],[''],,1,['Lilly Family School of Philanthropy'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 3: Economic Development']"
Girls Inc.,daf4694a-1e4d-4ea8-67c9-f68896121848,Indianapolis,3935 N. Meridian St.,,46008.0,Indianapolis,IN,,US,39.827595,-86.156335,nonprofit,"Girls Inc. of Greater Indianapolis inspires all girls to be strong, smart, and bold, enabling them to be confident in their own skin, prepared for their futures, proud of who they are, and ready to take their place in the world.",http://girlsincindy.org/,,,False,approved,"['IUSM AmeriCorps: Hoosier Public Health Corps', 'iDEW']",1,"{""Identify areas of need"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Manage the event or activity""}, {""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Discuss how to work together"",""Promote event to target populations"",""Provide access to target populations""}","[' '], ['n/a n/a']","[''], ['na@na.org']",,1,"['Luddy School of Informatics, Computing, and Engineering'], ['School of Medicine']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 1: Workforce Development', 'IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education', 'IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Girls Rock! Indianapolis,1a43d171-ddad-4294-7cfd-8eca7e235b7d,Indianapolis,P.O. Box 30831,,46230,Indianapolis,IN,,US,39.868904,-86.144663,nonprofit,"Girls Rock! Indianapolis is a 501(c)3 not-For-profit that hosts a summer day camp for girls (including female-identified and trans youth) ages 9-16 years old, teaching them positive self-esteem andself-expression through music education and mentoring.",https://www.girlsrockindy.org/,(317) 643-0233,mailto:info@girlsrockindy.org,False,approved,['Girls Rock! Indianapolis'],1,"{""Set goals"",""Identify expected measures, benefits, or outcomes"",""Assist in raising funds for the activity"",""Co-educate students"",""Discuss how to work together"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity""}",['Marcy Hook-Moeller'],['marcy@girlsrockindy.org'],,1,"['School of Engineering and Technology', 'Herron School of Art and Design']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Gleaner's Food Bank,2e05087f-6c21-4d96-6b12-8cbea07c2cc4,Indianapolis,3737 Waldemere Ave,,46241,Indianapolis,IN,,US,39.710605,-86.260861,informal,Lead the fight against hunger.,http://www.gleaners.org/,,,False,approved,['B235 Community Clinicals'],1,"{""Identify areas of need"",""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Measure the impact of the activity on the community"",""Supervise the activity""}",[' '],[''],['NURS-B235-All Spring Sections'],1,['NURS: Science of Nursing Care'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Greenfield-Central Com Schools: Greenfield-Central High School,23a0f348-4107-467a-7762-fdd12931954c,Indianapolis,810 N Broadway,,46140,Greenfield,IN,Hancock,US,39.792315,-85.781221,education: k-12,,http://gchs.gcsc.k12.in.us,(317) 462-9211,,False,approved,"['Forensic and Investigative Sciences Outreach', 'Special Programs for Academic Nurturing (SPAN)', 'iDEW: Computing by Design Summer Workshop']",1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Discuss how to work together"",""Provide access to target populations""},{""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ', ' ']","['', '', '']",,1,"['SCI: Forensic & Investigative Sciences Program', 'Luddy School of Informatics, Computing, and Engineering', 'University College', 'Special Programs for Academic Nurturing']",1,3125-2595,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Greenwood Christian Academy,4e967492-7175-44a2-760c-3339f2157013,Indianapolis,835 W. Worthsville Rd.,,46143,Greenwood,IN,Johnson,US,39.584236,-86.123023,education: k-12,"Greenwood Christian Academy is a private, Pre-K through high school located in Greenwood, Indiana.",http://www.gcak12.org/,(317) 215-5300,,False,approved,['We the People: The Citizen and the Constitution'],1,"{""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],,1,"[""Paul O'Neill School of Public and Environmental Affairs""]",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hamilton Heights School Corp: Hamilton Heights High School,9dd7c40e-4461-4369-5752-4c6a339001d7,Indianapolis,25802 State Rd. 19,,46030,Arcadia,IN,Hamilton,US,40.165659,-86.015513,education: k-12,Hamilton Heights High School was founded in 1965 with the consolidation of Jackson Central Eagles and the Walnut Grove Wolves.,http://www.hhschuskies.org/,(317) 984-3551,,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'iDEW: Computing by Design Summer Workshop']",1,"{""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ']","['', '']",,1,"['Luddy School of Informatics, Computing, and Engineering', 'Special Programs for Academic Nurturing', 'University College']",1,3025-2477,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hamilton Heights School Corp: Hamilton Heights Middle School,56c9c8a7-16da-4fa5-5530-4c80b99fdceb,Indianapolis,PO Box 609 - 420 W North St,,46030,Arcadia,IN,Hamilton,US,40.17728,-86.0272,education: k-12,,http://www.hhsc.k12.in.us/hhms-index.asp,(317) 984-3588,,False,approved,"['Education Counseling Internship: Hamilton Heights Middle School', 'Education Counseling Practicum: Hamilton Heights Middle School']",1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Manage the event or activity"",""Provide access to target populations"",""Supervise students""},{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Manage the event or activity"",""Provide access to target populations"",""Supervise students""}","[' ', ' ']","['', '']","['EDUC-G524-Spring 2025 - Fall 2025', 'EDUC-G550-Spring 2025 - Fall 2025']",1,"['School of Education', 'School of Education']",1,3025-2501,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hamilton Southeastern Schools: Fall Creek Junior High,bbd59b5a-5c8a-4b30-6c53-8a42f888b870,Indianapolis,12001 Olio Road,,46037,Fishers,IN,Hamilton,US,39.96368,-85.92022,education: k-12,,https://fcj.hseschools.org/,(317) 594-4390,,False,approved,['We the People: The Citizen and the Constitution'],1,"{""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],,1,"[""Paul O'Neill School of Public and Environmental Affairs""]",1,3005-2486,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hamilton Southeastern Schools: Fishers High School,e5a11031-47de-4ded-61fb-a7ded2056e7c,Indianapolis,1300 Promise Rd.,,46038,Fishers,IN,Hamilton,US,39.956842,-86.017118,education: k-12,"Fishers High School is the second high school in Hamilton Southeastern Schools in Fishers, Indiana. The student count for the 2012-2013 year was 2,531.",http://www.hse.k12.in.us/fhs/home.aspx,(317) 915-4290,,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'We the People: The Citizen and the Constitution']",1,"{""Promote event to target populations"",""Provide access to target populations""},{""Provide access to target populations""}","[' ', ' ']","['', '']",,1,"['University College', ""Paul O'Neill School of Public and Environmental Affairs"", 'Special Programs for Academic Nurturing']",1,3005-2487,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hamilton Southeastern Schools: Fishers Junior High School,02bcaa0d-dc72-470b-7303-c539adc92801,Indianapolis,13257 Cumberland Rd,,46038,Fishers,IN,Hamilton,US,39.981283,-85.99503,education: k-12,,https://fcj.hseschools.org/,(317) 594-4150,,False,approved,"['Scripps National Spelling Bee', 'We the People: The Citizen and the Constitution', 'iDEW: Computing by Design Summer Workshop']",1,"{""Promote event to target populations"",""Provide access to target populations""},{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ', ' ']","['', '', '']",,1,"['School of Liberal Arts', 'Division of Student Affairs', ""Paul O'Neill School of Public and Environmental Affairs"", 'Luddy School of Informatics, Computing, and Engineering', 'School of Education']",1,3005-2476,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hamilton Southeastern Schools: Hamilton Southeastern HS,3e144fb8-eb30-48e4-4850-f33f490d009e,Indianapolis,13910 E 126th St,,46037,Fishers,IN,Hamilton,US,39.972212,-85.91761,education: k-12,,https://hhs.hseschools.org/,(317) 594-4190,,False,approved,"['Education Counseling Internship: Hamilton Southeastern High School', 'Special Programs for Academic Nurturing (SPAN)', 'We the People: The Citizen and the Constitution']",1,"{""Promote event to target populations"",""Provide access to target populations""},{""Provide access to target populations""},{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Manage the event or activity"",""Measure the impact of the activity on the community"",""Provide access to target populations"",""Supervise students""}","[' ', ' ', ' ']","['', '', '']",['EDUC-G550-20875'],1,"['University College', ""Paul O'Neill School of Public and Environmental Affairs"", 'Special Programs for Academic Nurturing', 'School of Education']",1,3005-2499,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hamilton Southeastern Schools: Riverside Junior High,75cb338e-8300-4eff-6f79-c472e1071623,Indianapolis,10910 Eller Ed,,46038,Fishers,IN,Hamilton,US,39.94591,-86.06274,education: k-12,,https://rjh.hseschools.org/,(317) 915-4280,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['School of Liberal Arts', 'Division of Student Affairs', 'School of Education']",1,3005-2490,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hamilton Southeastern Schools: Sand Creek Intermediate School,b11b81a3-4193-4a1a-6e9d-60ec5230c047,Indianapolis,11550 E 131st St,,46038,Fishers,IN,Hamilton,US,39.980676,-85.960514,education: k-12,,https://sci.hseschools.org/,(317) 915-4230,,False,approved,['Education Counseling Internship: Sand Creek Intermediate School'],1,"{""Identify areas of need"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Manage the event or activity"",""Provide access to target populations"",""Supervise students""}",[' '],[''],['EDUC-G550-20875'],1,['School of Education'],1,3005-2479,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hasten Hebrew Acad of Indianapolis,cb0affa8-9ce2-4e73-52dd-11836e70f92d,Indianapolis,6602 Hoover Rd,,46260,Indianapolis,IN,Marion,US,39.876513,-86.175953,education: k-12,,http://www.hhai.org,(317) 251-1261,,False,approved,['Scripps National Spelling Bee'],1,"{""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['Division of Student Affairs', 'School of Liberal Arts', 'School of Education']",1,C475,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hawthorne Community Center,f6038174-1456-4860-6ba6-c2ba3e0aea72,Indianapolis,2440 West Ohio Street,,46222,Indianapolis,IN,Marion,US,39.768954,-86.202177,informal,"Hawthorne Social Service Association, Inc. is committed to fostering an environment which values and supports the diversity of its clients.   Hawthorne Social Service Association, Inc. is also committed to building, maintaining and nurturing a workforce that is reflective of the broader community.",http://www.hawthornecenter.org/,,,False,approved,['Diabetes Impact Project - Indianapolis Neighborhoods (DIP-IN)'],1,"{""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity""}",[' '],[''],,1,['Richard M. Fairbanks School of Public Health'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
HealthLinc Community Health Center (Michigan City),9fcbdaf3-45f8-4170-5a0a-664da3d19372,Indianapolis,710 Franklin St.,Ste. 200,46360,Michigan City,IN,,US,41.714766,-86.900171,for-profit,,,,,False,approved,['Hispanic Student Dental Association'],1,"{""Identify areas of need"",""Discuss how to work together"",""Promote event to target populations"",""Provide access to target populations"",""Provide volunteer site or space""}",['na na'],['na@na.org'],,1,['School of Dentistry'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
HealthLinc Community Health Center (Valparaiso),c644be9c-d680-4a2a-6116-2b2a1620cff8,Indianapolis,1001 Sturdy Rd.,,46383,Valparaiso,IN,,US,41.476985,-87.037437,for-profit,,,,,False,approved,['Hispanic Student Dental Association'],1,"{""Identify areas of need"",""Discuss how to work together"",""Promote event to target populations"",""Provide access to target populations"",""Provide volunteer site or space""}",['na na'],['na@na.org'],,1,['School of Dentistry'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Herron High School,8502e419-2418-496a-75c2-1d283604242f,Indianapolis,110 E. 16th St.,,46202.0,Indianapolis,IN,Marion,US,39.78897,-86.155422,education: k-12,"Herron High School is a public charter school in Indianapolis, Indiana. It opened for the 2006-2007 school year. Herron is a college preparatory school, providing a classical-based education, and serves grades 9-12.",http://www.herronhighschool.org/,(317) 231-0010,,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'iDEW', 'iDEW: Computing by Design Summer Workshop']",2,"{""Identify areas of need"",""Set goals"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Promote event to target populations"",""Provide access to target populations""}, {""Identify areas of need"",""Set goals"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Promote event to target populations"",""Provide access to target populations""},{""Promote event to target populations"",""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ', ' '], [' ']","['', '', ''], ['']",,1,"['Luddy School of Informatics, Computing, and Engineering'], ['University College', 'Luddy School of Informatics, Computing, and Engineering', 'Luddy School of Informatics, Computing, and Engineering', 'Special Programs for Academic Nurturing']",2,5724,"['IUI 2030 Strategic Plan Pillar 3, Goal 1: Workforce Development', 'IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Highlands Latin School,c23a8ba6-4567-4d9b-4357-36cb3b1ac278,Indianapolis,1010 East 126th Street,,46033,Carmel,IN,Hamilton County,US,39.971895,-86.111448,education: k-12,"Private school in Carmel, IN",https://www.indylatinschool.org/home,,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['School of Liberal Arts', 'Division of Student Affairs', 'School of Education']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Hispanic Dental Association,d6211851-1ced-49a8-4aac-95d136d9a608,Indianapolis,2 Talon Ct.,,08080,Sewell,NJ,Gloucester County,US,39.756745,-75.080367,nonprofit,"MISSION STATEMENT
As the leading voice for Hispanic Oral Health, we provide service, education-research, advocacy, and leadership for all healthcare professionals, to promote overall health of the Hispanic/Latinx and underrepresented communities.
VISION STATEMENT
Empower healthcare professionals to increase oral health equity and improve health care quality in the Hispanic/Latinx, and underrepresented populations.",https://www.hdassoc.org/,856-353-9459,,False,approved,['Hispanic Student Dental Association'],1,"{""Set goals"",""Co-educate students""}",[' '],[''],,1,['School of Dentistry'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Holy Family Shelter,7b2af4af-e426-4024-5ea0-ec4e275e9558,Indianapolis,907 N Holmes Ave,,46222,Indianapolis,IN,,US,39.779092,-86.205118,informal,Holy Family Shelter addresses the increasing demand for emergency shelter in Indianapolis and the central Indiana area by providing residential services designed to assist homeless families transition into permanent housing and a life of self-sufficiency.,http://www.archindy.org/cc/holyfamily/,,,False,approved,['SEAL Indiana'],1,"{""Provide access to target populations"",""Provide volunteer site or space""}",['NA NA'],['na@na.org'],,1,"['Center for Service and Learning', 'School of Dentistry', 'IUSD: Department of Cariology, Operative Dentistry, and Dental Public Health']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Hooverwood,19b01dc3-577e-4563-6596-395185efc0dd,Indianapolis,7001 Hoover Rd.,,46260,Indianapolis,IN,,US,39.88182,-86.17255,nonprofit,"Hooverwood was established at its present location in 1970, and has grown to become a well-recognized and respected skilled nursing facility, specializing in rehabilitation, dementia care, and adult day services. We are a Nonprofit facility with Medicare and Medicaid certifications.",http://www.hooverwood.org/,,,False,approved,['Nursing Clinical Experiences: Community-Based'],1,"{""Co-educate students"",""Discuss how to work together"",""Promote event to target populations""}",[' '],[''],,1,['School of Nursing'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Howe School,c92efeae-b364-421c-5d6c-c099c719e26c,Indianapolis,PO Box 240,,46746,Howe,IN,LaGrange,US,41.64201,-85.418008,education: k-12,,http://www.howemilitary.org/,(562) 213-1234,,False,approved,['College and Career Coaching'],1,"{""Identify expected measures, benefits, or outcomes"",""Discuss how to work together"",""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],,1,['Office of Workforce and Community Engagement'],1,B725,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
IU Dental School Outreach Clinic,9835b719-923e-4606-7d56-14ffb22acea1,Indianapolis,1121 W. Michigan St.,,46202,Indianapolis,IN,,US,39.774081,-86.180123,education: k-12,"The mission of the Indiana University Dental Student Outreach Clinic is to foster motivated and skilled student leaders to address the oral health needs of the underserved communities, develop student leaders to influence change in the community, promote access and utilization to oral health services, and to nurture an environment in the pursuit of excellence in education and learning, research, and lifelong service to the community and to the dental profession.",https://www.dentistry.iu.edu/index.php/departments/office-civic-engagement/student-outreach-clinic/,,,False,approved,['Hispanic Student Dental Association'],1,"{""Identify areas of need"",""Discuss how to work together"",""Manage the event or activity"",""Measure the impact of the activity on the community"",""Promote event to target populations"",""Provide access to target populations"",""Provide volunteer site or space""}",['na na'],['na@na.org'],,1,['School of Dentistry'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
IU Health,0871d203-9641-486e-59af-0fa56d3002bd,Indianapolis,550 University Blvd.,,46202,Indianapolis,IN,,US,39.775671,-86.17623,nonprofit,"Indiana University Health, formerly known as Clarian Heath, is a Nonprofit healthcare system located in the U.S. state of Indiana. It is the largest and most comprehensive healthcare system in Indiana, with 15 hospitals under its IU Health brand.",http://iuhealth.org/,,,False,approved,"['Copy of 13th Annual Martin Family Alzheimer’s Disease Caregiver Symposium', 'Extension for Community Healthcare Outcomes (ECHO): Cancer Prevention', 'HIV ECHO (Extension for Community Healthcare Outcomes)', 'Indiana Peer Education (INPEP) ECHO']",1,"{""Discuss how to work together""},{Co-investigator},{""Provide volunteer site or space""},{""Discuss how to work together""}","['NA NA', 'NA NA', '', 'NA NA']","['NA@email.com', 'NA@email.com', '', 'NA@email.com']",,1,"['Richard M. Fairbanks School of Public Health', 'Indiana Alzheimer Disease Center', 'School of Social Work', 'Richard M. Fairbanks School of Public Health', 'Richard M. Fairbanks School of Public Health']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
IU Health Methodist Hospital,26f61664-eebb-4c33-4f07-67a9e7272b7c,Indianapolis,1701 North Senate Blvd,,46202.0,Indianapolis,IN,,US,39.789986,-86.163057,nonprofit,,,,,False,approved,"['H360 Nursing Clinical', 'Health Sciences Internships', 'IU School of Nursing Harm Prevention Partners Program', 'Predictive modeling for social needs in emergency department settings']",2,"{""Identify areas of need"",""Set goals"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Manage the event or activity"",""Measure the impact of the activity on the community"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Provide information materials"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""},{""Identify areas of need"",Co-investigator,""Provide volunteer site or space""},{""Identify areas of need"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on the process or relationship of the partners"",""Provide access to target populations""}, {""Identify areas of need"",""Set goals"",""Provide access to data"",""Provide access to target populations"",""Supervise students""}","[' ', '', ' '], [' ']","['', '', ''], ['']","['HLSC-H495-Fall 2024-Spring 2025'], ['NURS-H360-All Sections']",1,"['School of Health and Human Sciences'], ['School of Nursing', 'Richard M. Fairbanks School of Public Health', 'School of Nursing']",2,X00396,"['IUI 2030 Strategic Plan Pillar 3, Goal 1: Workforce Development', 'IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
IU Health North,bc45dfb8-41c4-4c3d-77aa-0932dc57d8f2,Indianapolis,11700 North Meridian Street,,46032,Carmel,IN,,US,39.959302,-86.159599,nonprofit,,,,,False,approved,['H356 Nursing Clinical'],1,"{""Identify areas of need"",""Set goals"",""Identify expected measures, benefits, or outcomes"",""Co-educate students"",""Discuss how to work together"",""Evaluate or provide feedback on students' work"",""Evaluate or provide feedback on the process or relationship of the partners"",""Manage the event or activity"",""Measure the impact of the activity on the community"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Provide information materials"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],['NURS-H356-All Sections'],1,['School of Nursing'],1,X00398,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
IU Health Physicians Family Medicine - IU/Methodist Family Medicine Center,99cd0e1d-0b65-41c4-7c80-7cf43f0925ae,Indianapolis,1040 Wishard Blvd,,46202,Indianapolis,IN,Marion,US,39.779125,-86.175752,for-profit,,http://iuhealth.org/primarycare/p7120,(317) 962-8893,,False,approved,['Comprehensive Pain Management ECHO'],1,"{""Identify areas of need"",""Set goals"",""Manage the event or activity"",""Measure the impact of the activity on the community"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity""}",[' '],[''],,1,['Richard M. Fairbanks School of Public Health'],1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
